# Glyph list created by Arkady Benediktov
# Some extra glyph names that were encountered
# ============================================== Ligatures from PTSerifPro
f_f;FB00
natural;266E
negationslash;0338
nineoldstyle;0039
notapproxequal;2247
nu;03BD
oe;0153
omega;03C9
oneoldstyle;0031
openbullet;25E6
oslash;00F8
owner;220B
paragraph;00B6
parenleftBig;0028
parenleftBigg;0028
parenleftbig;0028
parenleftbig1;0028
parenleftbig2;0028
parenleftbig3;0028
parenleftbig4;0028
parenleftbig5;0028
parenleftbig6;0028
parenleftbig7;0028
parenleftbig8;0028
parenleftbig9;0028
parenleftbigg;0028
parenleftbt;239D
parenleftex;007C
parenlefttp;239B
parenrightBig;0029
parenrightBigg;0029
parenrightbig;0029
parenrightbig1;0029
parenrightbig2;0029
parenrightbig3;0029
parenrightbig4;0029
parenrightbig5;0029
parenrightbig6;0029
parenrightbig7;0029
parenrightbig8;0029
parenrightbig9;0029
parenrightbigg;0029
parenrightbt;23A0
parenrightex;007C
parenrighttp;239E
partialdiff;2202
period;002E
periodcentered;00B7
period.numerator;00B7
perpendicular;22A5
perthousandzero;2080
# ---------------------
# The phi/phi1 codes were swapped in Unicode 3.0 (Unicode Technical Report #25)
phi;03D5
phi1;03C6
# ---------------------
pi1;03D6
pi;03C0
plusminus;00B1
precedes;227A
precedesequal;227C
#prime;2032
prime;02B9
productdisplay;220F
producttext;220F
propersubset;2282
propersuperset;2283
proportional;221D
psi;03C8
questiondown;00BF
quotedblleft;201C
quotedblright;201D
quoteleft;2018
quoteright;2019
radical;221A
radicalBig;221A
radicalBigg;221A
radicalbig;221A
radicalbig1;221A
radicalbig2;221A
radicalbig3;221A
radicalbig4;221A
radicalbig5;221A
radicalbig6;221A
radicalbig7;221A
radicalbig8;221A
radicalbig9;221A
radicalbigg;221A
radicalbt;221A
radicallow;221A
radicaltp;250C
radicalvertex;2502
reflexsubset;2286
reflexsuperset;2287
rho1;03F1
rho;03C1
ring;02DA
section;00A7
sevenoldstyle;0037
sharp;266F
sigma1;03C2
sigma;03C3
similar;223C
similarequal;2243
sixoldstyle;0036
slash;002F U
slashBig;002F
slashBigg;002F
slashbig;002F
slashbig1;002F
slashbig2;002F
slashbig3;002F
slashbig4;002F
slashbigg;002F
slurabove;2322
slurbelow;2323
smile;2323
spade;2660
square;25A1
square5;25A0
square7;25A0
squareimage;228F
squareoriginal;2290
star;22C6
sterling;00A3
subsetornotdbleql;2ACB
subsetornoteql;2ACB
subsetsqequal;2291
subsetdbl;22D0
summationdisplay;2211
summationtext;2211
supersetsqequal;2292
suppress;0337
tau;03C4
theta1;03D1
theta;03B8
threeoldstyle;0033
tie;2040
tilde;02DC
tildewide;0360
tildewide1;0360
tildewide2;0360
tildewide3;0360
tildewide4;0360
tildewide5;0360
tildewide6;0360
tildewide7;0360
tildewide8;0360
tildewide9;0360
tildewider;0360
tildewidest;0360
triangle;25B3
triangleinv;25BD
triangleleft;25C1
triangleleftsld;25C2
triangleright;25B7
trianglerightsld;25B8
turnstileleft;22A2
turnstileright;22A3
twooldstyle;0032
union;222A
uniondisplay;22C3
unionmulti;228E
unionmultidisplay;228E
unionmultitext;228E
unionsq;2294
unionsqdisplay;2294
unionsqtext;2294
uniontext;22C3
universal;2200
upsilon;03C5
upslope;002F
varepsilon;03B5
varphi;03C6
vector;20D7
vextenddouble;2225
vextendsingle;007C
weierstrass;2118
wreathproduct;2240
xi;03BE
zerooldstyle;0030
zeta;03B6
# END
